cohort,model_id,cohort_size,high_risk_mix,mean_pd,p50_pd,p90_pd,approval_rate,predicted_default_rate,actual_default_rate,auc
baseline_mix,BLOG001,8000,0.15,0.0714746632679965,0.0347959969207082,0.184598776538323,0.978,0.022,0.06875,0.7552929835265405
baseline_mix,BLOG002,8000,0.15,0.07027957306606908,0.031541492355901,0.1176303056639665,0.955875,0.044125,0.06875,0.7970466137888956
baseline_mix,BLOG003,8000,0.15,0.07022644214004059,0.0256193382592646,0.1450491447917392,0.942625,0.057375,0.06875,0.8279476510067114
baseline_mix,BLOG004,8000,0.15,0.06979568532971282,0.0251241132045973,0.1604401986542368,0.942,0.058,0.06875,0.8362862721171446
baseline_mix,BLOG005,8000,0.15,0.06956388904748258,0.0284097407085003,0.14945933605080136,0.942,0.058,0.06875,0.8403443563148263
baseline_mix,BNB001,8000,0.15,0.11011663831293839,0.0050320653417302,0.4242530005192869,0.878875,0.121125,0.06875,0.847646735814521
baseline_mix,BNB002,8000,0.15,0.24573943870716863,0.06579773052003915,0.911204468483018,0.6972499999999999,0.30275,0.06875,0.847642586943258
baseline_mix,BNB003,8000,0.15,0.11011520949193362,0.00503244414411365,0.4242503118279393,0.878875,0.121125,0.06875,0.847646735814521
baseline_mix,BNB004,8000,0.15,0.2457369070100067,0.06580238109785445,0.9112035789892506,0.6972499999999999,0.30275,0.06875,0.8476425869432581
baseline_mix,BNB005,8000,0.15,0.11011342330832555,0.005032917506860499,0.42424694823859793,0.878875,0.121125,0.06875,0.8476472239170227
baseline_mix,BNB006,8000,0.15,0.24573374164327055,0.06580819253832446,0.9112024662018972,0.6972499999999999,0.30275,0.06875,0.8476430750457596
baseline_mix,BNB007,8000,0.15,0.11010806370923125,0.0050343366604762,0.4242368393098233,0.878875,0.121125,0.06875,0.8476438071995118
baseline_mix,BNB008,8000,0.15,0.24572424057730935,0.06582561498486869,0.911199121707444,0.6972499999999999,0.30275,0.06875,0.8476396583282491
baseline_mix,BNB009,8000,0.15,0.11009912755446052,0.0050366988026891,0.4242199306027419,0.878875,0.121125,0.06875,0.847646735814521
baseline_mix,BNB010,8000,0.15,0.24570838893236113,0.0658546128365864,0.911193527120911,0.6972499999999999,0.30275,0.06875,0.8476425869432581
baseline_mix,BNB011,8000,0.15,0.1100812421934516,0.005041411422339451,0.42418588666697976,0.878875,0.121125,0.06875,0.8476521049420377
baseline_mix,BNB012,8000,0.15,0.24567662376712354,0.0659124603706287,0.9111822614297093,0.6972499999999999,0.30275,0.06875,0.8476479560707748
baseline_mix,BNB013,8000,0.15,0.11004541953305597,0.00505079009596,0.42411689523068463,0.878875,0.121125,0.06875,0.8476469798657718
baseline_mix,BNB014,8000,0.15,0.24561284694951044,0.06602756413960575,0.9111594246797828,0.6972499999999999,0.30275,0.06875,0.8476428309945088
baseline_mix,BNB015,8000,0.15,0.10993754147418491,0.00506171708264165,0.42390274393514166,0.878875,0.121125,0.06875,0.8476494203782794
baseline_mix,BNB016,8000,0.15,0.24541956524662806,0.06616163667763675,0.911088485832933,0.6975,0.3025,0.06875,0.8476452715070164
baseline_mix,BNB017,8000,0.15,0.10975641303716953,0.0051122986725934,0.4235222408458807,0.878625,0.121375,0.06875,0.8476728492983526
baseline_mix,BNB018,8000,0.15,0.2450910597560436,0.0667818077576662,0.9109622526212879,0.6973750000000001,0.302625,0.06875,0.847668456375839
