period,count,default_rate,auc
cohort_1,14939,0.06472990159983935,0.864357019549514
cohort_10,14939,0.07108909565566637,0.8824602673447792
cohort_2,14939,0.06493071825423388,0.874298797115557
cohort_3,14939,0.07162460673405181,0.865919488296025
cohort_4,14939,0.06653725148939019,0.8697842847692103
cohort_5,14939,0.06593480152620658,0.867768025324689
cohort_6,14939,0.06446214606064662,0.8719796167409968
cohort_7,14939,0.06968337907490461,0.8710301373710949
cohort_8,14939,0.06506459602383025,0.8690479926080905
cohort_9,14939,0.06593480152620658,0.870272156010794
