period,count,mean_score,std_score,p10,p50,p90
cohort_1,14939,0.06787291490290515,0.1196076147858499,0.004981168,0.023481248,0.19002739
cohort_10,14939,0.06758584503944039,0.12001410294419548,0.004963321,0.023207251,0.18703999600000018
cohort_2,14939,0.06656806120725618,0.11790645280121184,0.005017378,0.023481248,0.1721240000000004
cohort_3,14939,0.06842722703172233,0.11918689650140807,0.0049802987,0.023481248,0.19536691800000006
cohort_4,14939,0.06633816074254635,0.1168779761758337,0.004991303,0.023481248,0.17356158200000005
cohort_5,14939,0.06713358576821073,0.11781265588969048,0.004991303,0.023481248,0.18908178800000003
cohort_6,14939,0.06566875889615771,0.11594216217059251,0.004981168,0.023481248,0.16681980200000032
cohort_7,14939,0.06728865325568646,0.11809278021234311,0.004979148,0.023481248,0.18822645
cohort_8,14939,0.06691169450828034,0.11768789088924592,0.0049814167,0.023481248,0.18736438
cohort_9,14939,0.06574715697751524,0.11669156848737731,0.0049802987,0.023155844,0.17393255200000005
